,date,DJIA
538,2012-02-22,12938.67
539,2012-02-23,12984.69
540,2012-02-24,12982.95
541,2012-02-27,12981.51
542,2012-02-28,13005.12
543,2012-02-29,12952.07
544,2012-03-01,12980.3
545,2012-03-02,12977.57
546,2012-03-05,12962.81
547,2012-03-06,12759.15
548,2012-03-07,12837.33
549,2012-03-08,12907.94
550,2012-03-09,12922.02
551,2012-03-12,12959.71
552,2012-03-13,13177.68
553,2012-03-14,13194.1
554,2012-03-15,13252.76
555,2012-03-16,13232.62
556,2012-03-19,13239.13
557,2012-03-20,13170.19
558,2012-03-21,13124.62
559,2012-03-22,13046.14
560,2012-03-23,13080.73
561,2012-03-26,13241.63
562,2012-03-27,13197.73
563,2012-03-28,13126.21
564,2012-03-29,13145.82
565,2012-03-30,13212.04
566,2012-04-02,13264.49
567,2012-04-03,13199.55
568,2012-04-04,13074.75
569,2012-04-05,13060.14
570,2012-04-09,12929.59
571,2012-04-10,12715.93
572,2012-04-11,12805.39
573,2012-04-12,12986.58
574,2012-04-13,12849.59
575,2012-04-16,12921.41
576,2012-04-17,13115.54
577,2012-04-18,13032.75
578,2012-04-19,12964.1
579,2012-04-20,13029.26
580,2012-04-23,12927.17
581,2012-04-24,13001.56
582,2012-04-25,13090.72
583,2012-04-26,13204.62
584,2012-04-27,13228.31
585,2012-04-30,13213.63
586,2012-05-01,13279.32
587,2012-05-02,13268.57
588,2012-05-03,13206.59
589,2012-05-04,13038.27
590,2012-05-07,13008.53
591,2012-05-08,12932.09
592,2012-05-09,12835.06
593,2012-05-10,12855.04
594,2012-05-11,12820.6
595,2012-05-14,12695.35
596,2012-05-15,12632.0
597,2012-05-16,12598.55
598,2012-05-17,12442.49
599,2012-05-18,12369.38
600,2012-05-21,12504.48
601,2012-05-22,12502.81
602,2012-05-23,12496.15
603,2012-05-24,12529.75
604,2012-05-25,12454.83
605,2012-05-29,12580.69
606,2012-05-30,12419.86
607,2012-05-31,12393.45
608,2012-06-01,12118.57
609,2012-06-04,12101.46
610,2012-06-05,12127.95
611,2012-06-06,12414.79
612,2012-06-07,12460.96
613,2012-06-08,12554.2
614,2012-06-11,12411.23
615,2012-06-12,12573.8
616,2012-06-13,12496.38
617,2012-06-14,12651.91
618,2012-06-15,12767.17
619,2012-06-18,12741.82
620,2012-06-19,12837.33
621,2012-06-20,12824.39
622,2012-06-21,12573.57
623,2012-06-22,12640.78
624,2012-06-25,12502.66
625,2012-06-26,12534.67
626,2012-06-27,12627.01
627,2012-06-28,12602.26
628,2012-06-29,12880.09
629,2012-07-02,12871.39
630,2012-07-03,12943.82
631,2012-07-05,12896.67
632,2012-07-06,12772.47
633,2012-07-09,12736.29
634,2012-07-10,12653.12
635,2012-07-11,12604.53
636,2012-07-12,12573.27
637,2012-07-13,12777.09
638,2012-07-16,12727.21
639,2012-07-17,12805.54
640,2012-07-18,12908.7
641,2012-07-19,12943.36
642,2012-07-20,12822.57
643,2012-07-23,12721.46
644,2012-07-24,12617.32
645,2012-07-25,12676.05
646,2012-07-26,12887.93
647,2012-07-27,13075.66
648,2012-07-30,13073.01
649,2012-07-31,13008.68
650,2012-08-01,12971.06
651,2012-08-02,12878.88
652,2012-08-03,13096.17
653,2012-08-06,13117.51
654,2012-08-07,13168.6
655,2012-08-08,13175.64
656,2012-08-09,13165.19
657,2012-08-10,13207.95
658,2012-08-13,13169.43
659,2012-08-14,13172.14
660,2012-08-15,13164.78
661,2012-08-16,13250.11
662,2012-08-17,13275.2
663,2012-08-20,13271.64
664,2012-08-21,13203.58
665,2012-08-22,13172.76
666,2012-08-23,13057.46
667,2012-08-24,13157.97
668,2012-08-27,13124.67
669,2012-08-28,13102.99
670,2012-08-29,13107.48
671,2012-08-30,13000.71
672,2012-08-31,13090.84
673,2012-09-04,13035.94
674,2012-09-05,13047.48
675,2012-09-06,13292.0
676,2012-09-07,13306.64
677,2012-09-10,13254.29
678,2012-09-11,13323.36
679,2012-09-12,13333.35
680,2012-09-13,13539.86
681,2012-09-14,13593.37
682,2012-09-17,13553.1
683,2012-09-18,13564.64
684,2012-09-19,13577.96
685,2012-09-20,13596.93
686,2012-09-21,13579.47
687,2012-09-24,13558.92
688,2012-09-25,13457.55
689,2012-09-26,13413.51
690,2012-09-27,13485.97
691,2012-09-28,13437.13
692,2012-10-01,13515.11
693,2012-10-02,13482.36
694,2012-10-03,13494.61
695,2012-10-04,13575.36
696,2012-10-05,13610.15
697,2012-10-08,13583.65
698,2012-10-09,13473.53
699,2012-10-10,13344.97
700,2012-10-11,13326.39
701,2012-10-12,13328.85
702,2012-10-15,13424.23
703,2012-10-16,13551.78
704,2012-10-17,13557.0
705,2012-10-18,13548.94
706,2012-10-19,13343.51
707,2012-10-22,13345.89
708,2012-10-23,13102.53
709,2012-10-24,13077.34
710,2012-10-25,13103.68
711,2012-10-26,13107.21
712,2012-10-31,13096.46
713,2012-11-01,13232.62
714,2012-11-02,13093.16
715,2012-11-05,13112.44
716,2012-11-06,13245.68
717,2012-11-07,12932.73
718,2012-11-08,12811.32
719,2012-11-09,12815.39
720,2012-11-12,12815.08
721,2012-11-13,12756.18
722,2012-11-14,12570.95
723,2012-11-15,12542.38
724,2012-11-16,12588.31
725,2012-11-19,12795.96
726,2012-11-20,12788.51
727,2012-11-21,12836.89
728,2012-11-23,13009.68
729,2012-11-26,12967.37
730,2012-11-27,12878.13
731,2012-11-28,12985.11
732,2012-11-29,13021.82
733,2012-11-30,13025.58
734,2012-12-03,12965.6
735,2012-12-04,12951.78
736,2012-12-05,13034.49
737,2012-12-06,13074.04
738,2012-12-07,13155.13
739,2012-12-10,13169.88
740,2012-12-11,13248.44
741,2012-12-12,13245.45
742,2012-12-13,13170.72
743,2012-12-14,13135.01
744,2012-12-17,13235.39
745,2012-12-18,13350.96
746,2012-12-19,13251.97
747,2012-12-20,13311.72
748,2012-12-21,13190.84
749,2012-12-24,13139.08
750,2012-12-26,13114.59
751,2012-12-27,13096.31
752,2012-12-28,12938.11
753,2012-12-31,13104.14
754,2013-01-02,13412.55
755,2013-01-03,13391.36
756,2013-01-04,13435.21
757,2013-01-07,13384.29
758,2013-01-08,13328.85
759,2013-01-09,13390.51
760,2013-01-10,13471.22
761,2013-01-11,13488.43
762,2013-01-14,13507.32
763,2013-01-15,13534.89
764,2013-01-16,13511.23
765,2013-01-17,13596.02
766,2013-01-18,13649.7
767,2013-01-22,13712.21
768,2013-01-23,13779.33
769,2013-01-24,13825.33
770,2013-01-25,13895.98
771,2013-01-28,13881.93
772,2013-01-29,13954.42
773,2013-01-30,13910.42
774,2013-01-31,13860.58
775,2013-02-01,14009.79
776,2013-02-04,13880.08
777,2013-02-05,13979.3
778,2013-02-06,13986.52
779,2013-02-07,13944.05
780,2013-02-08,13992.97
781,2013-02-11,13971.24
782,2013-02-12,14018.7
783,2013-02-13,13982.91
784,2013-02-14,13973.39
785,2013-02-15,13981.76
786,2013-02-19,14035.67
787,2013-02-20,13927.54
788,2013-02-21,13880.62
789,2013-02-22,14000.57
790,2013-02-25,13784.17
791,2013-02-26,13900.13
792,2013-02-27,14075.37
793,2013-02-28,14054.49
794,2013-03-01,14089.66
795,2013-03-04,14127.82
796,2013-03-05,14253.77
797,2013-03-06,14296.24
798,2013-03-07,14329.49
799,2013-03-08,14397.07
800,2013-03-11,14447.29
801,2013-03-12,14450.06
802,2013-03-13,14455.28
803,2013-03-14,14539.14
804,2013-03-15,14514.11
805,2013-03-18,14452.06
806,2013-03-19,14455.82
807,2013-03-20,14511.73
808,2013-03-21,14421.49
809,2013-03-22,14512.03
810,2013-03-25,14447.75
811,2013-03-26,14559.65
812,2013-03-27,14526.16
813,2013-03-28,14578.54
814,2013-04-01,14572.85
815,2013-04-02,14662.01
816,2013-04-03,14550.35
817,2013-04-04,14606.11
818,2013-04-05,14565.25
819,2013-04-08,14613.48
820,2013-04-09,14673.46
821,2013-04-10,14802.24
