,Date,Close
523,2015-06-09,526.69
524,2015-06-10,536.69
525,2015-06-11,534.61
526,2015-06-12,532.33
527,2015-06-13,
528,2015-06-14,
529,2015-06-15,527.2
530,2015-06-16,528.15
531,2015-06-17,529.26
532,2015-06-18,536.73
533,2015-06-19,536.69
534,2015-06-20,
535,2015-06-21,
536,2015-06-22,538.19
537,2015-06-23,540.48
538,2015-06-24,537.84
539,2015-06-25,535.23
540,2015-06-26,531.69
541,2015-06-27,
542,2015-06-28,
543,2015-06-29,521.52
544,2015-06-30,520.51
545,2015-07-01,521.84
546,2015-07-02,523.4
547,2015-07-03,
548,2015-07-04,
549,2015-07-05,
550,2015-07-06,522.86
551,2015-07-07,525.02
552,2015-07-08,516.83
553,2015-07-09,520.68
554,2015-07-10,530.13
555,2015-07-11,
556,2015-07-12,
557,2015-07-13,546.55
558,2015-07-14,561.1
559,2015-07-15,560.22
560,2015-07-16,579.85
561,2015-07-17,672.93
562,2015-07-18,
563,2015-07-19,
564,2015-07-20,663.02
565,2015-07-21,662.3
566,2015-07-22,662.1
567,2015-07-23,644.28
568,2015-07-24,623.56
569,2015-07-25,
570,2015-07-26,
571,2015-07-27,627.26
572,2015-07-28,628.0
573,2015-07-29,631.93
574,2015-07-30,632.59
575,2015-07-31,625.61
576,2015-08-01,
577,2015-08-02,
578,2015-08-03,631.21
579,2015-08-04,629.25
580,2015-08-05,643.78
581,2015-08-06,642.68
582,2015-08-07,635.3
583,2015-08-08,
584,2015-08-09,
585,2015-08-10,633.73
586,2015-08-11,660.78
587,2015-08-12,659.56
588,2015-08-13,656.45
589,2015-08-14,657.12
590,2015-08-15,
591,2015-08-16,
592,2015-08-17,660.87
593,2015-08-18,656.13
594,2015-08-19,660.9
595,2015-08-20,646.83
596,2015-08-21,612.48
597,2015-08-22,
598,2015-08-23,
599,2015-08-24,589.61
600,2015-08-25,582.06
601,2015-08-26,628.62
602,2015-08-27,637.61
603,2015-08-28,630.38
604,2015-08-29,
605,2015-08-30,
606,2015-08-31,618.25
607,2015-09-01,597.79
608,2015-09-02,614.34
609,2015-09-03,606.25
610,2015-09-04,600.7
611,2015-09-05,
612,2015-09-06,
613,2015-09-07,
614,2015-09-08,614.66
615,2015-09-09,612.72
616,2015-09-10,621.35
617,2015-09-11,625.77
618,2015-09-12,
619,2015-09-13,
620,2015-09-14,623.24
621,2015-09-15,635.14
622,2015-09-16,635.98
623,2015-09-17,642.9
624,2015-09-18,629.25
625,2015-09-19,
626,2015-09-20,
627,2015-09-21,635.44
628,2015-09-22,622.69
629,2015-09-23,622.36
630,2015-09-24,625.8
631,2015-09-25,611.97
632,2015-09-26,
633,2015-09-27,
634,2015-09-28,594.89
635,2015-09-29,594.97
636,2015-09-30,608.42
637,2015-10-01,611.29
638,2015-10-02,626.91
639,2015-10-03,
640,2015-10-04,
641,2015-10-05,641.47
